,MaxPartialCharge,BCUT2D_MWHI,BCUT2D_MRLOW,BertzCT,Kappa1,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA7,SlogP_VSA2,SlogP_VSA3,EState_VSA4,VSA_EState10,VSA_EState2,VSA_EState7,VSA_EState9,FractionCSP3,MolLogP,logs
0,0.2034363907431141,35.58279778650468,1.2795496089183185,35.30296890880646,7.16,0.0,34.802819670697545,0.0,0.0,5.880003444970339,46.40375956093006,0.0,9.67253938050011,0.0,0.0,20.431327160493826,0.0,0.0,0.0,1.0,2.5954000000000006,-2.18
1,0.18738218534988657,35.58251269693426,1.2681777924179811,20.36452797660028,5.87,0.0,34.802819670697545,6.923737199690624,0.0,0.0,34.802819670697545,0.0,3.792535935529771,0.0,0.0,15.18287037037037,0.0,0.0,0.0,1.0,2.376500000000001,-2.0
2,0.13734361253139798,35.544932634728475,1.2931681065158704,26.52932501298081,7.16,0.0,0.0,0.0,0.0,0.0,46.40375956093006,0.0,9.67253938050011,0.0,0.0,20.456790123456788,-1.3456790123456788,0.0,0.0,1.0,2.5938,-1.74
3,0.12082872501594434,35.53954550262037,1.398333475823948,18.854752972273346,5.87,0.0,0.0,0.0,0.0,5.880003444970339,34.802819670697545,0.0,10.716273135220394,0.0,0.0,15.263888888888888,-0.40586419753086433,0.0,0.0,1.0,2.0289,-1.48
4,0.3829756476639305,35.53978294491513,0.024088518104000617,67.50977500432694,8.66,0.0,23.20187978046503,11.600939890232516,0.0,0.0,34.802819670697545,0.0,9.968834452973244,0.0,0.0,12.489197530864196,0.0,0.0,0.0,1.0,2.9189,-3.04
5,0.10458917262570656,35.53916565933095,1.3875343667816828,8.75488750216347,4.58,0.0,0.0,6.923737199690624,0.0,0.0,23.20187978046503,0.0,4.836269690250055,0.0,0.0,10.080246913580247,-0.22222222222222232,0.0,0.0,1.0,1.81,-1.29
6,0.09918403887268369,35.539086833710975,2.4536328928354507,27.019550008653873,4.320000000000001,0.0,29.78081546406353,0.0,0.0,4.491468174157927,23.20187978046503,11.070403857756425,0.0,0.0,0.0,9.691358024691358,0.0,0.0,0.0,0.0,1.9352,-1.64
7,0.15425517138581352,16.67537138552501,-0.1228127421698283,39.79319390447952,7.919999999999998,0.0,0.0,20.771211599071872,13.213763929025836,0.0,0.0,0.0,19.503790658361048,9.473725907600098,13.213763929025836,0.0,0.0,-0.037037037037037424,0.0,1.0,1.4054,-0.43
8,0.07932005703926587,35.50130788710808,1.7002623792592069,229.16988337222986,8.476339113680153,0.0,46.40375956093006,12.13273413692322,0.0,20.090533254965305,46.40375956093006,32.22326739188853,0.0,0.0,0.0,22.490987654320985,0.0,0.0,0.0,0.0,4.3002,-4.57
9,-0.027602666714009613,14.108498318975963,0.6854657156513605,200.23484899951498,5.964482443005351,0.0,24.26546827384644,36.81018947509803,0.0,0.0,0.0,35.392371257240434,0.0,12.841643245852019,0.0,0.0,0.0,5.37537037037037,0.0,0.4,2.5654000000000003,-4.37
10,0.0779030660373676,35.50069414331388,1.7003643364933465,232.91988337222986,8.476339113680153,0.0,46.40375956093006,12.13273413692322,5.022633313741326,15.067899941223978,46.40375956093006,32.22326739188853,0.0,0.0,0.0,22.458580246913577,0.0,0.0,0.0,0.0,4.3002,-4.63
11,0.07779504102309424,35.49994069905178,1.7045030686843947,199.2929995478469,7.200011001100109,0.0,40.86918673915916,12.13273413692322,0.0,15.067899941223978,34.802819670697545,33.267001146608806,0.0,0.0,0.0,16.808888888888887,0.0,0.0,0.0,0.0,3.6468000000000007,-4.0
12,-0.03924826125183226,13.972415202776245,1.2670790693832314,191.0283370413565,6.341654501216546,0.0,18.19910120538483,37.46156607416286,0.0,0.0,0.0,34.88945568047582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.611860000000001,-3.2
13,0.03289770709975468,79.92200031561796,1.5069325592531462,205.9198833722299,9.229766606822263,0.0,0.0,75.85250972872062,17.890878063329655,0.0,63.719775591797394,30.023612200252874,0.0,0.0,17.890878063329655,13.529814814814815,0.0,0.0,0.0,0.0,4.7366,-6.98
14,0.06076945388496294,35.50049861368483,1.7003526580423098,205.9198833722299,8.476339113680153,0.0,46.40375956093006,12.13273413692322,0.0,20.090533254965305,46.40375956093006,32.22326739188853,0.0,0.0,0.0,22.443580246913577,0.0,0.0,0.0,0.0,4.3002,-5.56
15,-0.039501227941620365,14.006305784515535,1.242953267423152,196.2103774276832,7.328459869848157,0.0,12.13273413692322,49.948754765550476,0.0,0.0,0.0,34.386540103711205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.9202800000000018,-4.59
16,0.032816696674317664,79.92091268899449,1.5519287744696129,219.54299954784685,7.763519668737061,0.0,15.929943897949348,50.05898900128353,13.418158547497242,0.0,47.78983169384804,31.61725975288207,0.0,0.0,13.418158547497242,10.076157407407408,0.0,0.0,0.0,0.0,3.974100000000001,-4.5
